DIRECTORIO,departamento,sexo,edad,area,nivel_educativo,estrato,afiliado_salud
8038184,Boyacá,M,50,rural_disperso,primaria,2,1
8038184,Boyacá,F,49,rural_disperso,secundaria,2,1
8038184,Boyacá,F,15,rural_disperso,secundaria,2,1
8038184,Boyacá,M,4,rural_disperso,ninguno,2,1
8038186,Boyacá,F,74,rural_disperso,primaria,2,1
8038186,Boyacá,F,32,rural_disperso,primaria,2,1
8038186,Boyacá,M,15,rural_disperso,secundaria,2,1
8038186,Boyacá,F,14,rural_disperso,secundaria,2,1
8038187,Boyacá,M,63,rural_disperso,primaria,2,1
8038187,Boyacá,F,56,rural_disperso,primaria,2,1
8038188,Boyacá,F,37,rural_disperso,tecnico,1,1
8038188,Boyacá,M,31,rural_disperso,primaria,1,1
8038188,Boyacá,F,17,rural_disperso,tecnico,1,1
8038188,Boyacá,M,14,rural_disperso,secundaria,1,1
8038189,Boyacá,M,33,rural_disperso,primaria,2,1
8038189,Boyacá,F,32,rural_disperso,secundaria,2,1
8038189,Boyacá,M,11,rural_disperso,secundaria,2,1
8038189,Boyacá,F,7,rural_disperso,primaria,2,1
8038191,Boyacá,F,42,rural_disperso,tecnico,1,1
8038192,Boyacá,M,36,rural_disperso,secundaria,2,1
8038192,Boyacá,F,35,rural_disperso,primaria,2,1
8038192,Boyacá,F,16,rural_disperso,secundaria,2,1
8038192,Boyacá,M,12,rural_disperso,secundaria,2,1
8038193,Boyacá,M,65,rural_disperso,primaria,2,1
8038193,Boyacá,F,42,rural_disperso,ninguno,2,1
8038193,Boyacá,F,9,rural_disperso,primaria,2,1
8038193,Boyacá,M,7,rural_disperso,ninguno,2,1
8038194,Boyacá,F,60,rural_disperso,primaria,2,1
8038194,Boyacá,F,31,rural_disperso,secundaria,2,1
8038194,Boyacá,M,36,rural_disperso,primaria,2,1
8038194,Boyacá,M,13,rural_disperso,secundaria,2,1
8038194,Boyacá,M,6,rural_disperso,ninguno,2,1
8038195,Boyacá,M,56,cabecera,secundaria,2,1
8038196,Boyacá,F,65,cabecera,primaria,2,1
8038197,Boyacá,F,34,rural_disperso,secundaria,2,1
8038197,Boyacá,M,8,rural_disperso,primaria,2,1
8038197,Boyacá,F,4,rural_disperso,ninguno,2,1
8038199,Boyacá,M,37,rural_disperso,primaria,2,1
8038200,Boyacá,F,75,rural_disperso,ninguno,1,1
8038201,Boyacá,M,84,rural_disperso,primaria,2,1
8038201,Boyacá,F,81,rural_disperso,primaria,2,1
8038202,Boyacá,M,45,rural_disperso,primaria,2,1
8038202,Boyacá,F,46,rural_disperso,primaria,2,1
8038202,Boyacá,M,16,rural_disperso,secundaria,2,1
8038202,Boyacá,M,13,rural_disperso,secundaria,2,1
8038203,Boyacá,F,54,rural_disperso,primaria,2,1
8038203,Boyacá,M,67,rural_disperso,primaria,2,1
8038203,Boyacá,M,19,rural_disperso,tecnico,2,1
8038204,Boyacá,M,51,rural_disperso,primaria,2,1
8038204,Boyacá,F,50,rural_disperso,primaria,2,1
8038205,Boyacá,M,83,rural_disperso,primaria,2,1
8038206,Boyacá,F,54,rural_disperso,ninguno,2,1
8038206,Boyacá,M,16,rural_disperso,tecnico,2,1
8038206,Boyacá,M,14,rural_disperso,secundaria,2,1
8038207,Boyacá,M,47,cabecera,primaria,2,1
8038207,Boyacá,F,50,cabecera,primaria,2,1
8038207,Boyacá,F,18,cabecera,tecnologico,2,1
8038207,Boyacá,F,17,cabecera,secundaria,2,1
8038207,Boyacá,F,6,cabecera,primaria,2,1
8038208,Boyacá,F,73,cabecera,primaria,2,1
8038208,Boyacá,M,36,cabecera,secundaria,2,1
8038209,Boyacá,F,58,cabecera,secundaria,2,1
8038209,Boyacá,F,52,cabecera,tecnico,2,1
8038210,Boyacá,M,35,rural_disperso,secundaria,2,1
8038211,Boyacá,M,74,rural_disperso,ninguno,2,1
8038211,Boyacá,F,74,rural_disperso,ninguno,2,1
8038213,Boyacá,M,69,rural_disperso,primaria,2,1
8038213,Boyacá,F,66,rural_disperso,primaria,2,1
8038214,Boyacá,M,72,rural_disperso,primaria,2,1
8038214,Boyacá,F,60,rural_disperso,primaria,2,1
8038215,Boyacá,M,54,rural_disperso,primaria,2,1
8038215,Boyacá,F,43,rural_disperso,primaria,2,1
8038215,Boyacá,F,19,rural_disperso,tecnologico,2,1
8038215,Boyacá,M,17,rural_disperso,tecnico,2,1
8038216,Boyacá,M,33,rural_disperso,tecnico,2,1
8038216,Boyacá,F,26,rural_disperso,tecnico,2,1
8038216,Boyacá,M,9,rural_disperso,primaria,2,1
8038217,Boyacá,M,40,rural_disperso,primaria,2,1
8038217,Boyacá,F,40,rural_disperso,primaria,2,1
8038217,Boyacá,M,19,rural_disperso,secundaria,2,2
8038217,Boyacá,M,16,rural_disperso,tecnico,2,1
8038218,Boyacá,M,68,rural_disperso,primaria,2,1
8038218,Boyacá,F,60,rural_disperso,primaria,2,1
8038218,Boyacá,M,33,rural_disperso,universitario,2,1
8038219,Boyacá,M,39,rural_disperso,secundaria,2,1
8038219,Boyacá,F,35,rural_disperso,secundaria,2,1
8038219,Boyacá,M,16,rural_disperso,secundaria,2,1
8038220,Boyacá,M,39,rural_disperso,primaria,2,1
8038220,Boyacá,F,35,rural_disperso,primaria,2,1
8038220,Boyacá,F,15,rural_disperso,secundaria,2,1
